AccessID,ByWho,WhatPage,TypeOfAccess,AccessTime
0,12041,9027,Viewed Profile,2021-08-28 06:12:30
1,4991,15141,Liked Post,2022-05-14 14:29:27
2,14486,17989,Liked Post,2012-06-16 09:37:42
3,2592,11481,Left a Comment,2023-08-17 12:26:05
4,16174,10260,Viewed Profile,2014-09-17 03:41:35
5,11205,11249,Shared Post,2004-02-24 06:03:26
6,13896,19968,Shared Post,2004-03-13 21:29:48
7,17248,8822,Followed Profile,2004-03-02 04:35:54
8,16003,15472,Liked Post,2010-03-14 20:11:46
9,7897,12663,Viewed Profile,2004-12-27 22:20:25
10,19350,2128,Left a Comment,2022-06-14 13:38:20
11,13030,6555,Liked Post,2010-11-21 14:42:08
12,10301,849,Viewed Profile,2022-07-21 04:55:04
13,13695,12991,Shared Post,2020-04-22 08:16:26
14,19497,17360,Shared Post,2019-06-22 07:48:08
15,14899,11840,Followed Profile,2013-10-14 18:26:43
16,17034,14601,Shared Post,2019-02-05 11:25:38
17,4906,1671,Liked Post,2020-01-07 03:49:26
18,5651,7751,Viewed Profile,2007-11-08 14:45:10
19,18097,7432,Followed Profile,2006-05-04 17:16:19
20,15389,10395,Viewed Profile,2015-06-14 15:17:02
21,19517,6,Shared Post,2010-04-08 05:13:32
22,11860,16627,Left a Comment,2022-08-09 13:52:02
23,5357,13676,Followed Profile,2017-06-15 02:46:45
24,3938,15008,Followed Profile,2005-11-16 18:24:43
25,1302,16042,Liked Post,2007-11-15 22:53:32
26,3122,3727,Liked Post,2009-09-04 13:45:12
27,668,5288,Liked Post,2017-07-23 10:28:53
28,1354,10829,Liked Post,2010-04-10 10:55:30
29,6609,18900,Viewed Profile,2020-06-01 16:32:15
30,13555,1699,Left a Comment,2004-04-28 14:37:15
31,5314,17658,Liked Post,2010-07-29 00:43:24
32,7472,18402,Liked Post,2022-08-24 05:17:40
33,3419,7458,Viewed Profile,2013-11-05 00:01:18
34,13273,15245,Followed Profile,2014-03-03 14:09:57
35,10426,4341,Viewed Profile,2014-07-06 00:53:11
36,10700,2165,Viewed Profile,2022-02-11 06:35:06
37,12830,16593,Viewed Profile,2009-03-20 21:33:49
38,3527,2122,Followed Profile,2014-08-03 21:36:30
39,12710,18247,Liked Post,2013-07-11 10:31:17
40,15123,9305,Left a Comment,2011-03-17 08:01:50
41,3479,15869,Viewed Profile,2015-01-02 11:38:43
42,19965,18526,Followed Profile,2013-07-01 21:45:02
43,7180,15867,Followed Profile,2013-10-02 10:14:37
44,13850,5513,Shared Post,2023-09-05 02:39:12
45,5241,4515,Shared Post,2019-10-27 23:31:00
46,18782,13395,Shared Post,2014-09-26 15:19:52
47,10572,7985,Left a Comment,2018-12-06 22:48:02
48,9056,15654,Shared Post,2006-07-25 10:51:01
49,2644,17307,Followed Profile,2021-06-16 12:25:02
50,13605,5117,Viewed Profile,2020-01-20 10:41:34
51,19093,16624,Left a Comment,2022-02-09 19:37:53
52,12251,6778,Viewed Profile,2022-01-15 00:55:07
53,9434,7025,Liked Post,2005-11-22 11:42:49
54,18152,11293,Viewed Profile,2015-12-31 04:14:07
55,1534,5077,Viewed Profile,2011-11-06 02:50:10
56,225,10023,Shared Post,2005-03-28 18:13:11
57,15545,2492,Shared Post,2021-07-21 18:57:57
58,3422,15790,Followed Profile,2004-09-01 09:39:10
59,10972,5163,Left a Comment,2022-06-02 22:20:14
60,4275,2847,Liked Post,2017-07-03 08:43:23
61,13301,206,Followed Profile,2015-03-28 21:55:03
62,15659,2641,Followed Profile,2015-10-16 04:03:15
63,3836,15003,Left a Comment,2007-02-21 22:01:12
64,17336,12274,Left a Comment,2005-08-09 06:34:39
65,13801,15535,Left a Comment,2012-08-03 21:23:17
66,7088,3465,Shared Post,2020-10-31 12:10:11
67,3007,1291,Shared Post,2011-03-11 13:28:33
68,14185,2705,Viewed Profile,2016-07-28 04:28:12
69,5681,5945,Liked Post,2014-01-21 05:17:10
70,5522,10243,Liked Post,2022-03-09 18:35:38
71,10032,4078,Viewed Profile,2020-03-12 10:19:50
72,5514,6702,Shared Post,2010-02-19 15:21:59
73,2162,6887,Shared Post,2004-12-29 18:27:04
74,4280,4505,Left a Comment,2014-07-27 22:29:28
75,5643,14744,Viewed Profile,2006-11-09 13:49:24
76,2617,8096,Left a Comment,2007-02-04 01:33:55
77,17083,7708,Left a Comment,2007-12-23 16:03:29
78,13432,4625,Followed Profile,2009-05-23 13:51:17
79,5539,12525,Shared Post,2019-12-08 13:55:24
80,14339,15262,Shared Post,2022-07-15 06:53:24
81,19032,15456,Left a Comment,2021-07-17 03:08:21
82,19379,4543,Left a Comment,2023-02-04 00:38:11
83,11588,11425,Liked Post,2020-06-24 06:29:10
84,15019,7763,Liked Post,2020-02-07 17:12:11
85,7052,3278,Shared Post,2017-05-11 18:13:16
86,11123,18770,Shared Post,2009-12-11 07:33:10
87,5952,12271,Liked Post,2017-04-22 23:11:05
88,6235,4363,Viewed Profile,2004-07-01 01:00:13
89,19059,4402,Shared Post,2009-12-14 20:00:44
90,1057,11522,Left a Comment,2012-11-09 19:10:30
91,5139,15481,Followed Profile,2018-03-03 07:02:50
92,11306,4418,Left a Comment,2012-12-23 02:27:38
93,9503,1757,Followed Profile,2007-01-09 20:14:44
94,17950,9869,Followed Profile,2006-06-07 22:50:12
95,2893,12175,Liked Post,2007-03-21 13:06:47
96,7098,16544,Viewed Profile,2022-06-05 10:16:11
97,11867,17468,Liked Post,2008-02-24 10:18:16
98,5383,3898,Followed Profile,2009-10-06 03:09:46
99,2220,10125,Left a Comment,2022-10-21 18:47:53
100,11934,8441,Shared Post,2018-10-30 19:15:53
101,7621,14052,Viewed Profile,2008-08-02 06:06:08
102,10393,9672,Viewed Profile,2005-11-09 12:45:35
103,1954,7777,Followed Profile,2004-03-03 19:05:59
104,5527,5008,Shared Post,2017-08-13 16:45:03
105,15625,9436,Liked Post,2009-07-26 19:05:17
106,17705,13086,Viewed Profile,2011-05-11 16:17:15
107,6458,5266,Shared Post,2016-03-24 03:26:51
108,15988,16494,Liked Post,2014-04-12 07:37:53
109,60,2873,Shared Post,2007-05-07 13:52:42
110,15744,18958,Viewed Profile,2019-08-29 09:58:42
111,1844,9599,Left a Comment,2015-10-30 09:17:09
112,18945,13300,Followed Profile,2014-11-15 01:01:02
113,2613,13445,Liked Post,2015-01-28 07:40:12
114,14545,10662,Liked Post,2015-01-10 16:29:33
115,16973,15255,Shared Post,2022-04-18 02:05:38
116,18918,4157,Viewed Profile,2020-06-26 06:04:52
117,3129,19641,Liked Post,2018-11-25 01:57:29
118,5597,15656,Liked Post,2015-11-20 09:54:56
119,953,14604,Viewed Profile,2019-11-27 21:26:50
120,19457,15342,Viewed Profile,2008-08-21 14:46:21
121,5754,16147,Liked Post,2010-05-12 06:53:05
122,18629,9324,Viewed Profile,2007-05-25 09:30:52
123,2945,18297,Left a Comment,2013-08-09 08:29:27
124,10761,19304,Viewed Profile,2005-05-24 17:42:13
125,15454,18437,Left a Comment,2017-09-03 11:44:04
126,10042,5615,Followed Profile,2020-01-26 16:36:43
127,8015,16067,Left a Comment,2017-02-02 01:41:21
128,11496,5855,Shared Post,2022-06-12 05:57:49
129,13133,3134,Left a Comment,2019-01-10 05:21:38
130,6786,14329,Shared Post,2021-07-11 21:54:33
131,6064,15747,Left a Comment,2006-11-21 11:23:15
132,4819,8580,Followed Profile,2010-08-25 08:35:49
133,10104,96,Left a Comment,2020-06-06 14:37:16
134,3319,16798,Left a Comment,2013-10-31 04:55:34
135,10675,10240,Viewed Profile,2021-11-12 03:06:05
136,873,17583,Followed Profile,2012-10-18 05:38:25
137,8212,4030,Liked Post,2017-12-29 19:51:06
138,7133,14405,Shared Post,2011-11-30 00:52:32
139,5192,14888,Left a Comment,2010-06-07 06:34:57
140,12595,18752,Followed Profile,2009-04-09 21:56:06
141,19104,9065,Followed Profile,2007-12-14 15:55:23
142,4378,4716,Left a Comment,2023-01-19 13:02:03
143,19927,5121,Viewed Profile,2020-10-26 14:50:16
144,8868,15092,Liked Post,2008-06-06 14:25:39
145,432,14546,Followed Profile,2008-08-07 11:46:59
146,5816,6012,Liked Post,2007-07-25 03:44:22
147,19526,6372,Shared Post,2006-10-26 03:35:42
148,10522,9729,Shared Post,2013-06-10 16:50:39
149,448,17631,Viewed Profile,2021-05-12 05:12:04
150,17135,3543,Followed Profile,2018-12-31 23:31:35
151,3937,14267,Left a Comment,2017-12-05 01:18:54
152,7305,16000,Shared Post,2015-07-21 17:27:31
153,8860,4775,Left a Comment,2023-05-24 11:24:10
154,12755,419,Liked Post,2022-06-29 14:38:13
155,5025,4670,Liked Post,2006-09-14 05:29:19
156,17617,17374,Left a Comment,2013-11-24 03:37:38
157,17755,3271,Liked Post,2004-08-26 22:16:30
158,7587,16696,Shared Post,2013-06-03 05:55:44
159,16303,15357,Liked Post,2017-07-12 19:17:06
160,11213,13499,Left a Comment,2016-04-06 02:25:23
161,15344,19883,Left a Comment,2020-11-19 04:16:31
162,5469,12217,Followed Profile,2019-06-28 02:27:21
163,5858,18509,Viewed Profile,2007-04-13 01:32:22
164,3054,13562,Liked Post,2015-11-17 06:49:34
165,17716,8730,Liked Post,2011-05-23 19:30:56
166,4792,15166,Viewed Profile,2007-10-04 07:25:40
167,16182,16283,Liked Post,2021-12-18 18:48:04
168,12850,19566,Liked Post,2014-10-04 06:03:27
169,2784,2195,Left a Comment,2009-02-02 00:49:32
170,16289,2587,Shared Post,2016-12-29 14:41:28
171,903,9264,Liked Post,2007-12-04 15:40:48
172,17031,7038,Viewed Profile,2005-09-05 19:12:09
173,18681,18984,Viewed Profile,2008-03-17 03:15:07
174,6206,18930,Left a Comment,2008-03-22 20:40:18
175,18446,2680,Liked Post,2012-03-31 12:46:30
176,12333,15374,Viewed Profile,2017-07-20 12:04:35
177,13879,4937,Viewed Profile,2023-11-15 05:25:46
178,8304,16126,Liked Post,2006-02-03 20:39:40
179,14479,4358,Liked Post,2005-02-25 23:58:56
180,17534,18521,Liked Post,2016-11-13 06:55:33
181,5674,11295,Left a Comment,2010-05-28 00:00:58
182,294,1778,Followed Profile,2020-07-09 01:02:20
183,15201,7,Liked Post,2015-03-22 15:02:55
184,7074,15796,Followed Profile,2021-10-07 05:47:44
185,6315,14744,Left a Comment,2006-12-09 22:38:12
186,19217,6776,Viewed Profile,2020-10-13 05:11:04
187,9157,2032,Shared Post,2010-05-31 01:07:36
188,10707,14336,Liked Post,2022-01-17 18:16:03
189,4566,13880,Followed Profile,2005-03-07 21:49:35
190,16491,526,Shared Post,2017-09-26 19:36:11
191,18367,4319,Followed Profile,2004-04-05 12:23:27
192,18555,18448,Shared Post,2015-12-23 16:41:37
193,1718,6990,Followed Profile,2008-02-17 13:08:04
194,11381,4346,Shared Post,2006-10-04 06:25:03
195,13950,18660,Liked Post,2021-05-12 03:50:44
196,7874,14864,Left a Comment,2023-07-05 04:41:52
197,4377,19709,Followed Profile,2019-11-16 03:51:58
198,4245,2606,Viewed Profile,2009-04-27 04:19:14
199,10493,16451,Followed Profile,2011-05-03 01:17:39
200,16177,12736,Followed Profile,2006-06-27 05:57:55
201,13773,14237,Liked Post,2010-05-16 08:20:50
202,9797,3997,Liked Post,2008-03-01 08:17:08
203,8081,19668,Shared Post,2010-01-29 04:25:26
204,6240,5837,Followed Profile,2020-05-22 21:01:50
205,18083,8205,Followed Profile,2006-12-14 10:41:04
206,3854,15350,Shared Post,2009-06-22 02:47:03
207,7731,17793,Viewed Profile,2012-11-21 22:58:11
208,10739,9367,Viewed Profile,2017-12-11 14:22:17
209,2125,16202,Followed Profile,2022-08-29 12:59:51
210,6200,9590,Shared Post,2004-11-09 15:57:52
211,3318,2576,Left a Comment,2018-05-10 05:34:11
212,18515,16428,Followed Profile,2004-10-01 07:20:54
213,5779,9989,Shared Post,2021-08-03 17:42:22
214,17475,9297,Left a Comment,2012-12-08 13:22:00
215,11414,8198,Liked Post,2016-03-23 11:38:11
216,8549,16476,Shared Post,2012-10-25 10:43:37
217,9746,16339,Viewed Profile,2015-03-26 01:28:11
218,1437,297,Shared Post,2007-12-28 19:43:44
219,16186,12911,Viewed Profile,2007-11-24 08:59:09
220,6800,11779,Viewed Profile,2022-04-02 04:03:33
221,8667,6022,Followed Profile,2009-08-19 19:38:36
222,11047,12151,Left a Comment,2018-06-21 00:44:08
223,15182,3727,Liked Post,2009-07-30 17:53:13
224,16288,2473,Left a Comment,2013-11-07 03:09:54
225,4786,2272,Followed Profile,2009-03-31 18:29:40
226,2681,5898,Viewed Profile,2018-12-09 01:22:13
227,17413,3210,Left a Comment,2009-07-29 02:54:26
228,8326,8963,Liked Post,2009-09-05 17:58:54
229,13397,18914,Left a Comment,2012-02-20 01:42:28
230,9065,11222,Liked Post,2005-04-27 01:47:55
231,19888,1205,Left a Comment,2006-11-10 09:15:21
232,4655,19773,Shared Post,2010-08-11 17:18:56
233,14101,11702,Shared Post,2015-08-19 22:25:24
234,9051,17610,Liked Post,2006-05-26 16:55:11
235,14155,16255,Viewed Profile,2020-05-08 20:50:16
236,17867,5336,Left a Comment,2006-12-20 05:50:51
237,12072,5879,Left a Comment,2015-07-24 13:42:22
238,14037,19802,Shared Post,2020-05-22 14:31:18
239,6032,3415,Liked Post,2018-01-29 06:56:09
240,2334,15289,Followed Profile,2013-05-09 13:03:44
241,19465,5501,Left a Comment,2017-06-17 01:54:59
242,12870,6907,Shared Post,2018-09-10 02:05:10
243,19388,11658,Left a Comment,2007-08-22 11:48:00
244,8372,18898,Followed Profile,2009-03-25 08:41:16
245,2545,4341,Viewed Profile,2005-04-10 08:39:40
246,10942,3883,Followed Profile,2005-11-08 05:29:35
247,3364,8305,Shared Post,2021-11-21 07:06:04
248,8983,12338,Viewed Profile,2004-05-01 07:35:50
249,17030,19369,Viewed Profile,2019-02-18 12:35:37
250,7795,5997,Shared Post,2024-01-11 20:02:13
251,7411,2635,Liked Post,2005-09-20 20:40:34
252,12902,8783,Viewed Profile,2020-10-12 21:36:24
253,12016,27,Left a Comment,2019-01-03 06:29:44
254,2292,8170,Liked Post,2004-04-02 14:05:14
255,10112,10903,Liked Post,2016-11-15 05:14:14
256,14462,9787,Followed Profile,2016-02-07 15:02:24
257,16889,6110,Viewed Profile,2015-04-26 22:54:07
258,4159,5043,Viewed Profile,2018-10-29 01:25:47
259,13736,933,Viewed Profile,2019-03-30 18:47:20
260,1202,5597,Followed Profile,2006-03-15 02:51:49
261,9416,8791,Left a Comment,2020-01-08 12:08:31
262,19688,16780,Viewed Profile,2009-12-24 16:26:11
263,6231,10261,Left a Comment,2015-03-17 05:28:04
264,10229,11202,Followed Profile,2017-01-20 23:58:33
265,9883,10589,Liked Post,2016-02-13 16:32:11
266,2063,8117,Followed Profile,2020-01-30 23:35:21
267,7397,18811,Shared Post,2007-07-13 19:21:18
268,13465,8528,Left a Comment,2008-01-27 19:47:33
269,9445,16164,Shared Post,2019-10-24 14:08:43
270,13274,13162,Left a Comment,2016-05-03 13:26:14
271,4187,10404,Liked Post,2007-02-20 07:58:39
272,7732,12086,Left a Comment,2022-10-08 09:25:28
273,15636,10012,Left a Comment,2005-06-05 01:31:12
274,1280,598,Shared Post,2023-10-12 02:18:39
275,11544,17488,Left a Comment,2006-11-30 04:07:31
276,9574,6869,Liked Post,2008-08-05 05:47:23
277,14519,14656,Viewed Profile,2006-03-26 03:10:23
278,10088,18549,Viewed Profile,2019-04-14 13:58:24
279,10203,10151,Left a Comment,2007-12-22 09:58:17
280,15776,11482,Viewed Profile,2010-01-15 16:03:35
281,17580,17678,Viewed Profile,2014-03-15 02:20:38
282,11115,18771,Viewed Profile,2015-07-09 19:45:05
283,18553,14878,Viewed Profile,2009-08-28 19:37:09
284,21,8446,Left a Comment,2016-01-21 14:56:09
285,6616,10675,Left a Comment,2020-10-07 07:22:41
286,2075,18562,Liked Post,2007-09-10 06:48:50
287,3404,17849,Viewed Profile,2017-08-22 19:32:07
288,9632,6843,Followed Profile,2009-07-17 14:27:46
289,898,12533,Followed Profile,2008-12-13 11:41:38
290,4128,15359,Shared Post,2021-08-22 08:50:59
291,2200,3843,Viewed Profile,2021-04-05 05:35:00
292,15131,10422,Followed Profile,2020-08-20 22:33:35
293,19350,14940,Viewed Profile,2009-06-16 00:59:23
294,10203,11965,Followed Profile,2022-03-07 04:43:09
295,6618,6556,Viewed Profile,2022-01-05 21:48:31
296,6837,15943,Liked Post,2021-08-04 20:36:47
297,9847,3663,Viewed Profile,2018-10-17 21:48:17
298,7680,2758,Shared Post,2023-02-15 00:44:26
299,18025,14384,Left a Comment,2016-02-13 21:40:45
300,19086,14554,Left a Comment,2012-01-21 18:48:17
301,17593,18393,Followed Profile,2017-08-21 13:01:47
302,16302,14069,Viewed Profile,2012-02-28 09:08:09
303,16877,12565,Shared Post,2005-04-19 03:14:55
304,12926,19317,Viewed Profile,2010-03-30 14:06:14
305,18780,17852,Shared Post,2006-08-10 13:31:27
306,3318,8383,Followed Profile,2011-03-08 10:38:57
307,12454,15944,Left a Comment,2007-09-11 11:09:26
308,13918,3419,Followed Profile,2007-01-06 20:02:51
309,1666,12176,Viewed Profile,2009-12-09 02:38:13
310,15269,2435,Liked Post,2014-04-05 14:31:53
311,666,17290,Liked Post,2013-11-06 09:19:45
312,206,9443,Shared Post,2010-06-04 16:05:52
313,3286,9769,Liked Post,2007-07-16 17:10:28
