x,y
3155,3445
331,2121
4188,3980
3317,2484
3904,2933
4779,1789
4134,1140
2308,1144
776,2052
4362,4930
1203,2540
809,604
2704,3867
4585,824
2898,3556
2590,1675
4526,3907
3626,4270
2133,510
4494,115
764,3267
9,4043
2729,1998
2664,515
1565,4649
1816,1954
1167,4448
3669,747
659,2621
4161,4008
893,2469
4515,2384
1022,4484
2725,4426
1664,4941
4482,4813
2356,3645
750,4884
3153,2597
4715,1983
2378,1506
1551,1529
270,2130
3903,565
735,1066
1225,316
657,4428
3205,4297
2257,4274
1929,1762
4831,3435
4748,2254
3691,4035
2927,674
2656,944
3984,4809
2746,1559
1990,132
2220,959
1806,3047
1396,2724
3490,509
824,1198
1792,370
4701,4376
4932,606
218,1019
1544,4967
4718,980
3204,749
3032,950
298,4960
177,1594
1515,1014
3925,1725
500,186
4458,3486
831,2129
573,1809
589,2466
2869,3572
1477,500
4125,3826
322,4886
826,3205
1633,2131
2937,3852
4667,1387
1666,475
1296,1326
2804,4337
2053,960
4888,3623
1432,108
3863,3357
4662,4166
2551,2925
3183,2055
1256,4592
101,3751
647,2751
374,4459
2300,1104
1967,3947
2885,4998
2358,2942
4835,1084
2541,3178
3394,661
12,4870
1575,2739
1311,1961
1827,3671
3101,4654
3394,258
3295,4648
3426,383
1357,3648
523,2123
1291,3656
4321,3991
4599,4947
0,318
4051,2670
2556,3824
408,3400
1540,4493
683,1069
120,3291
3420,2590
27,1749
117,19
4328,801
1560,974
4983,1626
2477,2293
1492,820
3896,3249
666,178
2250,3710
948,2101
1092,4266
2843,942
1265,2280
152,346
333,1685
2127,4574
2578,3005
4648,344
4977,4050
3757,3567
3051,4406
1460,1702
3076,4809
2384,72
1134,1237
2223,2731
2764,3008
767,2770
292,337
2208,1342
1224,4779
2371,2956
3234,4493
1062,2403
941,3916
1963,395
2522,1471
4284,580
2479,3302
2691,2451
3397,890
814,4594
3941,3883
2761,2815
1018,3924
950,4077
3494,309
2473,2744
1275,1364
4624,3076
712,539
693,1622
1810,500
3152,64
803,3226
4558,4251
2374,3674
4002,4791
1779,3465
685,3017
1803,2137
4794,1364
3532,1572
2936,942
523,226
4307,3699
1652,974
4072,3260
2101,1697
344,1768
1198,857
1621,3755
3096,2962
4476,1239
858,4884
3996,1215
4619,3325
3467,4269
4058,2641
4083,4084
1654,4446
4995,1792
79,2787
2607,2636
290,4301
1215,2104
4936,1277
3104,4775
2411,3853
543,693
4231,322
543,1843
1069,332
2461,125
3674,2708
1316,1219
3774,3041
4136,3131
4340,4115
275,4701
742,4243
4916,625
3492,1688
2372,4386
4903,3422
3950,3183
4976,4803
1913,167
1,1490
2477,4152
4671,2084
2725,537
4042,2146
2480,3342
3147,3143
510,1341
1043,1957
2351,2736
454,294
3943,3423
1154,4029
4931,668
1240,2889
3368,288
3819,3167
3759,385
831,3857
1240,165
265,4901
1087,2653
862,4498
2839,1597
3140,4016
909,492
4998,3827
2767,1018
2427,1041
3175,2406
995,4251
1549,312
3211,3641
3043,1560
3731,2920
617,365
327,3982
2092,218
4260,4663
4684,1769
1881,765
4115,4290
3441,4154
2501,929
1193,3489
4636,3457
688,858
3404,515
812,3401
1279,251
3659,3531
3416,246
4068,2658
2069,643
2887,576
994,2943
240,2829
2849,1457
81,1888
2996,577
4887,1173
1703,26
1677,1009
58,2402
3023,201
4954,1907
1162,1531
3719,920
3905,2821
2115,1066
228,1704
2967,2744
3877,2397
2427,4531
2678,1507
4858,661
840,4368
4758,2521
1281,3085
1203,1025
1825,2587
4164,1989
1938,1506
2384,3051
3438,378
1083,4925
168,3226
638,599
1081,3442
2452,4511
3414,1165
4842,3458
2441,2904
692,2032
3643,3024
4335,473
3083,3347
69,3417
2626,3615
1671,3044
2402,3857
745,1519
889,2268
918,4572
4960,1260
3654,3266
1518,3454
3536,1431
2031,3714
2788,4287
1167,2911
3788,708
3959,1668
